DT,,,,,,,,,,,,,,,,,
y,acc_mean,acc_std,precision_0_mean,precision_0_std,precision_1_mean,precision_1_std,recall_0_mean,recall_0_std,recall_1_mean,recall_1_std,F1_0_mean,F1_0_std,F1_1_mean,F1_1_std,x_col,,
0.5,0.741,0.009,0.89504051,0.016305452,0.415401182,0.013838822,0.763576159,0.019257244,0.651282051,0.06642516,0.8237907,0.007191951,0.506437157,0.027239851,1,,
0.35,0.701759623,0.024554685,0.854752935,0.024199877,0.330384246,0.038273876,0.756479437,0.023686001,0.484615385,0.085609423,0.802280949,0.017064459,0.391771091,0.052224853,2,,
0.35,0.725311013,0.039716793,0.86969736,0.029235618,0.365435238,0.060027407,0.77383182,0.032006129,0.52991453,0.095782267,0.818724906,0.027702725,0.431759748,0.072099185,3,,
0.35,0.725010045,0.036151321,0.879800674,0.030893377,0.360912903,0.053808398,0.765103595,0.034942315,0.560897436,0.099423904,0.817872909,0.025652871,0.437059799,0.063641483,4,,
0.45,0.721105983,0.034519815,0.878561848,0.030474579,0.356815769,0.050637848,0.761080865,0.039880017,0.558461538,0.107706012,0.814739876,0.025393779,0.432490602,0.062823404,5,,
0.45,0.731390402,0.039317877,0.877374812,0.028273615,0.375275005,0.062948666,0.77649985,0.050529062,0.54957265,0.10238649,0.822670504,0.029371949,0.441225204,0.062104862,6,,
0.45,0.729172543,0.036852747,0.878167588,0.026266651,0.370838969,0.059350474,0.772671891,0.047712295,0.552380952,0.095110601,0.820985361,0.027532696,0.439479224,0.057769013,7,,
0.45,0.726958267,0.035140267,0.875554529,0.025604044,0.368506679,0.056095547,0.77175784,0.044855502,0.545833333,0.09097031,0.81944506,0.02620351,0.436185563,0.055043878,8,,
0.35,0.732403369,0.047440165,0.880786294,0.025791632,0.378787349,0.064953337,0.773235136,0.057335263,0.564102564,0.09184879,0.822322825,0.03694038,0.449819914,0.06498345,9,,
0.35,0.733005396,0.045041264,0.880558326,0.024472845,0.378440234,0.061626527,0.774387232,0.054515039,0.562051282,0.087366681,0.822987679,0.035101702,0.449236173,0.061665495,10,,
NB,,,,,,,,,,,,,,,,,
y,acc_mean,acc_std,precision_0_mean,precision_0_std,precision_1_mean,precision_1_std,recall_0_mean,recall_0_std,recall_1_mean,recall_1_std,F1_0_mean,F1_0_std,F1_1_mean,F1_1_std,x_col,,
0.35,0.578947368,0,0.873684211,0,0.284210526,0,0.549668874,0,0.692307692,0,0.674796748,0,0.402985075,0,1,,
0.45,0.575399319,0.001759664,0.903556034,0.039985148,0.287420679,0.011106149,0.527920857,0.022312995,0.769230769,0.105228549,0.665349658,0.006889567,0.417710944,0.027427993,2,,
0.35,0.587259021,0.029024548,0.896353629,0.02431594,0.286942705,0.003735861,0.551058951,0.053241265,0.735042735,0.080616695,0.680363855,0.036322294,0.411680509,0.010249361,3,,
0.35,0.612,0.051,0.89121947,0.022820275,0.285629564,0.003960264,0.594375295,0.088775286,0.679487179,0.119705072,0.708497744,0.05845047,0.399669472,0.022847449,4,,
0.35,0.605855412,0.046979911,0.8892132,0.020758503,0.283049106,0.006297743,0.586059242,0.080962621,0.682051282,0.106919557,0.702676058,0.053456113,0.397996448,0.020661526,5,,
0.35,0.613386455,0.046058818,0.884066556,0.02219377,0.286800181,0.010221766,0.600583137,0.080725042,0.662393162,0.107047454,0.711326507,0.052475875,0.397729772,0.018838911,6,,
0.35,0.604056522,0.048413001,0.884428182,0.020541992,0.281864763,0.015414606,0.58748208,0.081344075,0.67032967,0.100904986,0.702082226,0.053617155,0.394244567,0.019426922,7,,
0.35,0.609278623,0.047333302,0.885113191,0.019284328,0.287294318,0.020408466,0.593295186,0.077581062,0.673076923,0.09458583,0.7068792,0.051710892,0.400291865,0.024266469,8,,
0.35,0.611287497,0.044959469,0.887341994,0.019242855,0.287780134,0.019277357,0.594810879,0.073219767,0.678062678,0.090234989,0.709075244,0.049118016,0.401905526,0.023318718,9,,
0.35,0.606316383,0.045186624,0.885015561,0.019547054,0.284002121,0.021536887,0.589598083,0.071180299,0.674358974,0.086282079,0.704834386,0.048294756,0.397686196,0.025508434,10,,
